forum,title,keywords,abstract,pdf,match,venue,year,type
https://openreview.net/forum?id=zoPf7R-2wZr,On the Relationship between Self-Attention and Convolutional Layers,,,https://openreview.nethttps://openreview.net/pdf?id=HJlnC1rKPB,{'title_filter': 'attention'},ICLR.cc,2020,Conference
https://openreview.net/forum?id=y4ZSx77LRO,Scalable Generative Models for Graphs with Graph Attention Mechanism,,,https://openreview.nethttps://openreview.net/pdf?id=BkleBaVFwB,{'title_filter': 'attention'},ICLR.cc,2020,Conference
https://openreview.net/forum?id=xfT5K6RRifG,Logic and the 2-Simplicial Transformer,,,https://openreview.nethttps://openreview.net/pdf?id=rkecJ6VFvr,{'title_filter': 'transformer'},ICLR.cc,2020,Conference
https://openreview.net/forum?id=xQm-9qwRdLT,U-GAT-IT: Unsupervised Generative Attentional Networks with Adaptive Layer-Instance Normalization for Image-to-Image Translation,,,https://openreview.nethttps://openreview.net/pdf?id=BJlZ5ySKPH,{'title_filter': 'attention'},ICLR.cc,2020,Conference
https://openreview.net/forum?id=uQTl5eO65vj,On Identifiability in Transformers,,,https://openreview.nethttps://openreview.net/pdf?id=BJg1f6EFDB,{'title_filter': 'transformer'},ICLR.cc,2020,Conference
https://openreview.net/forum?id=uHbfQikLh6V,Kronecker Attention Networks,,,https://openreview.nethttps://openreview.net/pdf?id=Hyx_h64Yvr,{'title_filter': 'attention'},ICLR.cc,2020,Conference
https://openreview.net/forum?id=tw4Z_Uz4IJM,Capsules with Inverted Dot-Product Attention Routing,,,https://openreview.nethttps://openreview.net/pdf?id=HJe6uANtwH,{'title_filter': 'attention'},ICLR.cc,2020,Conference
https://openreview.net/forum?id=thmWyk8Sxsj,Compressive Transformers for Long-Range Sequence Modelling,,,https://openreview.nethttps://openreview.net/pdf?id=SylKikSYDH,{'title_filter': 'transformer'},ICLR.cc,2020,Conference
https://openreview.net/forum?id=sGnbzESI1G,Learning deep graph matching with channel-independent embedding and Hungarian attention,,,https://openreview.nethttps://openreview.net/pdf?id=rJgBd2NYPH,{'title_filter': 'attention'},ICLR.cc,2020,Conference
https://openreview.net/forum?id=p4GUze-feNQf,Hyper-SAGNN: a self-attention based graph neural network for hypergraphs,,,https://openreview.nethttps://openreview.net/pdf?id=ryeHuJBtPH,{'title_filter': 'attention'},ICLR.cc,2020,Conference
https://openreview.net/forum?id=fN4ZJNs_OhD,Reducing Transformer Depth on Demand with Structured Dropout,,,https://openreview.nethttps://openreview.net/pdf?id=SylO2yStDr,{'title_filter': 'transformer'},ICLR.cc,2020,Conference
